# robot.pose.x robot.pose.y robot.pose.theta 
-2.12492 6.20651 0.569267 
-2.05732 6.2435 0.562183 
-2.01775 6.26994 0.564813 
-1.98258 6.27514 0.555594 
-1.95453 6.30488 0.549353 
-1.86591 6.35741 0.559231 
-1.84381 6.36245 0.555516 
-1.80231 6.40626 0.55384 
-1.7493 6.42728 0.557235 
-1.70458 6.47235 0.556366 
-1.65366 6.49667 0.56041 
-1.6044 6.53097 0.561056 
-1.60503 6.53037 0.561242 
-1.55607 6.55177 0.57095 
-1.51039 6.57759 0.570924 
-1.49113 6.57859 0.563231 
-1.49214 6.57778 0.563189 
-1.43934 6.61464 0.558729 
-1.43966 6.61449 0.558769 
-1.44935 6.60083 0.553155 
-1.43892 6.60389 0.558196 
-1.4481 6.6046 0.555885 
-1.43822 6.6061 0.559163 
-1.44039 6.60114 0.558169 
-1.44057 6.60098 0.558237 
-1.45204 6.61037 0.554076 
-1.44933 6.60866 0.554805 
-1.45205 6.60964 0.552848 
-1.43578 6.60046 0.561274 
-1.4423 6.60058 0.556676 
-1.44686 6.60536 0.554639 
-1.44698 6.60529 0.554655 
-1.44939 6.60697 0.5547 
-1.44174 6.60296 0.558686 
-1.4465 6.60548 0.556799 
-1.44741 6.6102 0.553667 
-1.44849 6.60875 0.553958 
-1.44511 6.60992 0.555197 
-1.44513 6.60981 0.555242 
-1.44821 6.60613 0.555508 
-1.44592 6.59895 0.556608 
-1.45104 6.60284 0.55525 
-1.45157 6.61576 0.554137 
-1.43954 6.6001 0.56001 
-1.43966 6.60005 0.560016 
