Elapsed Time: 12.59 seconds | Position: x=1.09, y=-0.00
Elapsed Time: 12.68 seconds | Position: x=1.12, y=-0.00
Elapsed Time: 12.78 seconds | Position: x=1.15, y=-0.00
Elapsed Time: 12.89 seconds | Position: x=1.17, y=-0.00
Elapsed Time: 12.98 seconds | Position: x=1.20, y=-0.00
Elapsed Time: 13.08 seconds | Position: x=1.23, y=-0.00
Elapsed Time: 13.19 seconds | Position: x=1.26, y=-0.00
Elapsed Time: 13.29 seconds | Position: x=1.28, y=0.00
Elapsed Time: 13.39 seconds | Position: x=1.31, y=0.00
Elapsed Time: 13.48 seconds | Position: x=1.34, y=0.00
Elapsed Time: 13.58 seconds | Position: x=1.36, y=0.00
Elapsed Time: 13.68 seconds | Position: x=1.39, y=0.00
Elapsed Time: 13.78 seconds | Position: x=1.42, y=0.00
Elapsed Time: 13.89 seconds | Position: x=1.45, y=0.00
Elapsed Time: 13.98 seconds | Position: x=1.47, y=0.00
Elapsed Time: 14.08 seconds | Position: x=1.50, y=0.00
Elapsed Time: 14.19 seconds | Position: x=1.53, y=0.00
Elapsed Time: 14.28 seconds | Position: x=1.56, y=0.00
Elapsed Time: 14.38 seconds | Position: x=1.58, y=0.00
Elapsed Time: 14.49 seconds | Position: x=1.61, y=0.00
Elapsed Time: 14.58 seconds | Position: x=1.64, y=0.00
Elapsed Time: 14.68 seconds | Position: x=1.67, y=0.01
Elapsed Time: 14.78 seconds | Position: x=1.69, y=0.01
Elapsed Time: 14.87 seconds | Position: x=1.72, y=0.01
Elapsed Time: 14.98 seconds | Position: x=1.75, y=0.01
Elapsed Time: 15.08 seconds | Position: x=1.78, y=0.01
Elapsed Time: 15.19 seconds | Position: x=1.80, y=0.01
Elapsed Time: 15.30 seconds | Position: x=1.83, y=0.01
Elapsed Time: 15.38 seconds | Position: x=1.87, y=0.01
Elapsed Time: 15.49 seconds | Position: x=1.90, y=0.01
Elapsed Time: 15.58 seconds | Position: x=1.94, y=0.01
Elapsed Time: 15.68 seconds | Position: x=1.98, y=0.01
Elapsed Time: 15.79 seconds | Position: x=2.01, y=0.01
Elapsed Time: 15.88 seconds | Position: x=2.05, y=0.01
Elapsed Time: 15.98 seconds | Position: x=2.09, y=0.01
Elapsed Time: 16.08 seconds | Position: x=2.13, y=0.01
Elapsed Time: 16.18 seconds | Position: x=2.17, y=0.01
Elapsed Time: 16.28 seconds | Position: x=2.21, y=0.01
Elapsed Time: 16.38 seconds | Position: x=2.25, y=0.01
Elapsed Time: 16.48 seconds | Position: x=2.29, y=0.01
Elapsed Time: 16.58 seconds | Position: x=2.33, y=0.01
Elapsed Time: 16.68 seconds | Position: x=2.37, y=0.01
Elapsed Time: 16.79 seconds | Position: x=2.41, y=0.01
Elapsed Time: 16.89 seconds | Position: x=2.45, y=0.01
Elapsed Time: 16.98 seconds | Position: x=2.49, y=0.01
Elapsed Time: 17.08 seconds | Position: x=2.53, y=0.01
