Elapsed Time: 55.98 seconds | Position: x=-8.12, y=2.26
Elapsed Time: 56.22 seconds | Position: x=-8.07, y=2.15
Elapsed Time: 56.48 seconds | Position: x=-8.03, y=2.05
Elapsed Time: 56.69 seconds | Position: x=-7.99, y=1.95
Elapsed Time: 56.99 seconds | Position: x=-7.94, y=1.82
Elapsed Time: 57.19 seconds | Position: x=-7.90, y=1.70
Elapsed Time: 57.39 seconds | Position: x=-7.87, y=1.63
Elapsed Time: 57.69 seconds | Position: x=-7.82, y=1.51
Elapsed Time: 57.89 seconds | Position: x=-7.79, y=1.41
Elapsed Time: 58.12 seconds | Position: x=-7.76, y=1.33
Elapsed Time: 58.40 seconds | Position: x=-7.71, y=1.22
Elapsed Time: 58.59 seconds | Position: x=-7.66, y=1.11
Elapsed Time: 58.81 seconds | Position: x=-7.61, y=1.01
Elapsed Time: 59.09 seconds | Position: x=-7.58, y=0.91
Elapsed Time: 59.29 seconds | Position: x=-7.54, y=0.83
Elapsed Time: 59.60 seconds | Position: x=-7.51, y=0.74
Elapsed Time: 59.79 seconds | Position: x=-7.47, y=0.61
Elapsed Time: 60.01 seconds | Position: x=-7.44, y=0.52
Elapsed Time: 60.29 seconds | Position: x=-7.40, y=0.41
Elapsed Time: 60.50 seconds | Position: x=-7.36, y=0.30
Elapsed Time: 60.71 seconds | Position: x=-7.33, y=0.20
Elapsed Time: 60.99 seconds | Position: x=-7.29, y=0.10
Elapsed Time: 61.21 seconds | Position: x=-7.24, y=-0.01
Elapsed Time: 61.41 seconds | Position: x=-7.20, y=-0.13
Elapsed Time: 61.69 seconds | Position: x=-7.16, y=-0.23
Elapsed Time: 61.89 seconds | Position: x=-7.13, y=-0.33
Elapsed Time: 62.13 seconds | Position: x=-7.09, y=-0.42
Elapsed Time: 62.39 seconds | Position: x=-7.04, y=-0.51
Elapsed Time: 62.60 seconds | Position: x=-7.00, y=-0.61
Elapsed Time: 62.89 seconds | Position: x=-6.96, y=-0.71
Elapsed Time: 63.10 seconds | Position: x=-6.92, y=-0.81
Elapsed Time: 63.31 seconds | Position: x=-6.88, y=-0.91
Elapsed Time: 63.59 seconds | Position: x=-6.85, y=-1.00
Elapsed Time: 63.79 seconds | Position: x=-6.81, y=-1.09
Elapsed Time: 64.02 seconds | Position: x=-6.77, y=-1.19
Elapsed Time: 64.30 seconds | Position: x=-6.73, y=-1.30
Elapsed Time: 64.49 seconds | Position: x=-6.69, y=-1.40
Elapsed Time: 64.72 seconds | Position: x=-6.65, y=-1.50
Elapsed Time: 64.99 seconds | Position: x=-6.62, y=-1.59
Elapsed Time: 65.20 seconds | Position: x=-6.58, y=-1.69
Elapsed Time: 65.50 seconds | Position: x=-6.53, y=-1.81
Elapsed Time: 65.69 seconds | Position: x=-6.48, y=-1.92
Elapsed Time: 65.90 seconds | Position: x=-6.44, y=-2.04
Elapsed Time: 66.19 seconds | Position: x=-6.40, y=-2.15
Elapsed Time: 66.39 seconds | Position: x=-6.35, y=-2.27
Elapsed Time: 66.61 seconds | Position: x=-6.30, y=-2.39
Elapsed Time: 66.89 seconds | Position: x=-6.25, y=-2.49
Elapsed Time: 67.20 seconds | Position: x=-6.21, y=-2.59
Elapsed Time: 67.79 seconds | Position: x=-6.16, y=-2.69
Elapsed Time: 68.28 seconds | Position: x=-6.14, y=-2.73
Elapsed Time: 68.61 seconds | Position: x=-6.14, y=-2.73
Elapsed Time: 68.99 seconds | Position: x=-6.14, y=-2.73
Elapsed Time: 69.39 seconds | Position: x=-6.13, y=-2.75
Elapsed Time: 69.71 seconds | Position: x=-6.13, y=-2.76
Elapsed Time: 70.08 seconds | Position: x=-6.13, y=-2.76
Elapsed Time: 70.39 seconds | Position: x=-6.13, y=-2.75
Elapsed Time: 71.70 seconds | Position: x=-6.02, y=-2.70
Elapsed Time: 72.00 seconds | Position: x=-5.91, y=-2.65
Elapsed Time: 72.20 seconds | Position: x=-5.81, y=-2.60
Elapsed Time: 72.40 seconds | Position: x=-5.71, y=-2.54
Elapsed Time: 72.70 seconds | Position: x=-5.62, y=-2.50
Elapsed Time: 72.88 seconds | Position: x=-5.51, y=-2.46
Elapsed Time: 73.11 seconds | Position: x=-5.40, y=-2.42
Elapsed Time: 73.39 seconds | Position: x=-5.29, y=-2.37
Elapsed Time: 73.59 seconds | Position: x=-5.19, y=-2.32
Elapsed Time: 73.81 seconds | Position: x=-5.10, y=-2.28
Elapsed Time: 74.09 seconds | Position: x=-4.99, y=-2.24
Elapsed Time: 74.29 seconds | Position: x=-4.90, y=-2.20
Elapsed Time: 74.53 seconds | Position: x=-4.81, y=-2.16
Elapsed Time: 74.80 seconds | Position: x=-4.69, y=-2.12
Elapsed Time: 75.01 seconds | Position: x=-4.59, y=-2.09
Elapsed Time: 75.30 seconds | Position: x=-4.49, y=-2.05
Elapsed Time: 75.49 seconds | Position: x=-4.37, y=-2.00
Elapsed Time: 75.70 seconds | Position: x=-4.27, y=-1.96
Elapsed Time: 75.99 seconds | Position: x=-4.16, y=-1.93
Elapsed Time: 76.20 seconds | Position: x=-4.06, y=-1.88
Elapsed Time: 76.42 seconds | Position: x=-3.95, y=-1.85
Elapsed Time: 76.69 seconds | Position: x=-3.83, y=-1.81
Elapsed Time: 76.91 seconds | Position: x=-3.71, y=-1.76
Elapsed Time: 77.13 seconds | Position: x=-3.60, y=-1.72
Elapsed Time: 77.40 seconds | Position: x=-3.49, y=-1.67
Elapsed Time: 77.60 seconds | Position: x=-3.38, y=-1.64
Elapsed Time: 77.90 seconds | Position: x=-3.28, y=-1.59
Elapsed Time: 78.10 seconds | Position: x=-3.16, y=-1.54
Elapsed Time: 78.31 seconds | Position: x=-3.04, y=-1.48
Elapsed Time: 78.59 seconds | Position: x=-2.92, y=-1.43
Elapsed Time: 78.80 seconds | Position: x=-2.78, y=-1.38
Elapsed Time: 79.02 seconds | Position: x=-2.67, y=-1.33
Elapsed Time: 79.30 seconds | Position: x=-2.56, y=-1.30
Elapsed Time: 79.50 seconds | Position: x=-2.44, y=-1.23
Elapsed Time: 79.72 seconds | Position: x=-2.31, y=-1.18
Elapsed Time: 80.00 seconds | Position: x=-2.20, y=-1.14
Elapsed Time: 80.20 seconds | Position: x=-2.07, y=-1.10
Elapsed Time: 80.50 seconds | Position: x=-1.95, y=-1.04
Elapsed Time: 80.70 seconds | Position: x=-1.84, y=-1.01
Elapsed Time: 80.90 seconds | Position: x=-1.72, y=-0.96
Elapsed Time: 81.20 seconds | Position: x=-1.62, y=-0.93
Elapsed Time: 81.40 seconds | Position: x=-1.50, y=-0.88
Elapsed Time: 81.61 seconds | Position: x=-1.41, y=-0.85
Elapsed Time: 81.90 seconds | Position: x=-1.30, y=-0.79
Elapsed Time: 82.11 seconds | Position: x=-1.20, y=-0.76
Elapsed Time: 82.34 seconds | Position: x=-1.09, y=-0.71
Elapsed Time: 82.59 seconds | Position: x=-0.98, y=-0.67
Elapsed Time: 82.80 seconds | Position: x=-0.88, y=-0.64
Elapsed Time: 83.10 seconds | Position: x=-0.77, y=-0.61
Elapsed Time: 83.30 seconds | Position: x=-0.68, y=-0.57
Elapsed Time: 83.51 seconds | Position: x=-0.57, y=-0.53
Elapsed Time: 83.80 seconds | Position: x=-0.47, y=-0.49
Elapsed Time: 84.00 seconds | Position: x=-0.36, y=-0.44
Elapsed Time: 84.21 seconds | Position: x=-0.24, y=-0.39
Elapsed Time: 84.50 seconds | Position: x=-0.13, y=-0.34
Elapsed Time: 84.69 seconds | Position: x=-0.02, y=-0.29
Elapsed Time: 84.92 seconds | Position: x=0.11, y=-0.24
Elapsed Time: 85.21 seconds | Position: x=0.21, y=-0.21
Elapsed Time: 85.40 seconds | Position: x=0.33, y=-0.17
Elapsed Time: 85.69 seconds | Position: x=0.45, y=-0.12
Elapsed Time: 85.90 seconds | Position: x=0.56, y=-0.07
Elapsed Time: 86.10 seconds | Position: x=0.67, y=-0.04
Elapsed Time: 86.40 seconds | Position: x=0.78, y=-0.00
Elapsed Time: 86.60 seconds | Position: x=0.88, y=0.03
Elapsed Time: 86.81 seconds | Position: x=1.00, y=0.07
Elapsed Time: 87.20 seconds | Position: x=1.13, y=0.12
