Elapsed Time: 61.64 seconds | Position: x=-3.02, y=-0.91
Elapsed Time: 61.93 seconds | Position: x=-2.91, y=-0.88
Elapsed Time: 62.13 seconds | Position: x=-2.81, y=-0.86
Elapsed Time: 62.62 seconds | Position: x=-2.68, y=-0.83
Elapsed Time: 62.63 seconds | Position: x=-2.56, y=-0.78
Elapsed Time: 62.83 seconds | Position: x=-2.46, y=-0.76
Elapsed Time: 63.13 seconds | Position: x=-2.34, y=-0.73
Elapsed Time: 63.32 seconds | Position: x=-2.23, y=-0.70
Elapsed Time: 63.53 seconds | Position: x=-2.11, y=-0.67
Elapsed Time: 63.82 seconds | Position: x=-1.99, y=-0.62
Elapsed Time: 64.02 seconds | Position: x=-1.87, y=-0.58
Elapsed Time: 64.23 seconds | Position: x=-1.75, y=-0.55
Elapsed Time: 64.85 seconds | Position: x=-1.65, y=-0.53
Elapsed Time: 64.85 seconds | Position: x=-1.53, y=-0.48
Elapsed Time: 64.94 seconds | Position: x=-1.41, y=-0.43
Elapsed Time: 65.23 seconds | Position: x=-1.29, y=-0.38
Elapsed Time: 65.42 seconds | Position: x=-1.17, y=-0.33
Elapsed Time: 65.72 seconds | Position: x=-1.06, y=-0.28
Elapsed Time: 65.93 seconds | Position: x=-0.96, y=-0.22
Elapsed Time: 66.13 seconds | Position: x=-0.84, y=-0.15
Elapsed Time: 66.43 seconds | Position: x=-0.72, y=-0.07
Elapsed Time: 66.94 seconds | Position: x=-0.62, y=-0.03
Elapsed Time: 66.95 seconds | Position: x=-0.51, y=0.02
Elapsed Time: 67.14 seconds | Position: x=-0.41, y=0.07
Elapsed Time: 67.32 seconds | Position: x=-0.31, y=0.12
Elapsed Time: 67.56 seconds | Position: x=-0.20, y=0.17
Elapsed Time: 67.82 seconds | Position: x=-0.09, y=0.22
Elapsed Time: 68.03 seconds | Position: x=-0.00, y=0.28
Elapsed Time: 68.32 seconds | Position: x=0.10, y=0.34
Elapsed Time: 68.52 seconds | Position: x=0.20, y=0.40
Elapsed Time: 69.02 seconds | Position: x=0.28, y=0.47
Elapsed Time: 69.03 seconds | Position: x=0.37, y=0.54
Elapsed Time: 69.23 seconds | Position: x=0.47, y=0.63
Elapsed Time: 69.44 seconds | Position: x=0.56, y=0.70
Elapsed Time: 69.74 seconds | Position: x=0.66, y=0.79
Elapsed Time: 69.93 seconds | Position: x=0.74, y=0.89
Elapsed Time: 70.23 seconds | Position: x=0.81, y=0.99
Elapsed Time: 70.43 seconds | Position: x=0.88, y=1.09
Elapsed Time: 70.63 seconds | Position: x=0.92, y=1.21
Elapsed Time: 71.19 seconds | Position: x=0.97, y=1.31
Elapsed Time: 71.19 seconds | Position: x=1.01, y=1.42
Elapsed Time: 71.33 seconds | Position: x=1.06, y=1.55
Elapsed Time: 71.72 seconds | Position: x=1.11, y=1.71
Elapsed Time: 72.05 seconds | Position: x=1.15, y=1.89
Elapsed Time: 72.43 seconds | Position: x=1.18, y=2.07
Elapsed Time: 72.83 seconds | Position: x=1.20, y=2.24
Elapsed Time: 73.32 seconds | Position: x=1.20, y=2.41
Elapsed Time: 73.53 seconds | Position: x=1.21, y=2.60
Elapsed Time: 73.83 seconds | Position: x=1.21, y=2.78
Elapsed Time: 74.23 seconds | Position: x=1.20, y=2.95
Elapsed Time: 74.53 seconds | Position: x=1.20, y=3.10
Elapsed Time: 74.94 seconds | Position: x=1.21, y=3.29
Elapsed Time: 75.42 seconds | Position: x=1.21, y=3.48
Elapsed Time: 75.64 seconds | Position: x=1.22, y=3.67
Elapsed Time: 75.95 seconds | Position: x=1.22, y=3.84
Elapsed Time: 76.33 seconds | Position: x=1.22, y=4.02
Elapsed Time: 76.73 seconds | Position: x=1.18, y=4.20
Elapsed Time: 77.03 seconds | Position: x=1.16, y=4.38
Elapsed Time: 77.55 seconds | Position: x=1.12, y=4.57
Elapsed Time: 77.64 seconds | Position: x=1.11, y=4.69
Elapsed Time: 77.86 seconds | Position: x=1.06, y=4.84
Elapsed Time: 78.14 seconds | Position: x=1.02, y=4.97
Elapsed Time: 78.34 seconds | Position: x=0.99, y=5.06
Elapsed Time: 78.55 seconds | Position: x=0.95, y=5.19
Elapsed Time: 78.83 seconds | Position: x=0.92, y=5.30
Elapsed Time: 79.03 seconds | Position: x=0.90, y=5.41
Elapsed Time: 79.58 seconds | Position: x=0.87, y=5.53
Elapsed Time: 79.58 seconds | Position: x=0.84, y=5.64
Elapsed Time: 79.73 seconds | Position: x=0.81, y=5.74
Elapsed Time: 80.04 seconds | Position: x=0.78, y=5.86
Elapsed Time: 80.24 seconds | Position: x=0.73, y=5.98
Elapsed Time: 80.44 seconds | Position: x=0.69, y=6.10
Elapsed Time: 80.74 seconds | Position: x=0.66, y=6.20
Elapsed Time: 80.92 seconds | Position: x=0.63, y=6.31
