# time.localization time.act 
0.33885 0.077421 
0.295222 0.07542 
0.379602 0.095379 
0.351725 0.071962 
0.297473 0.071795 
0.372018 0.073004 
0.30039 0.077295 
0.348725 0.074795 
0.294514 0.072629 
0.273054 0.075045 
0.281055 0.042585 
0.290514 0.073212 
0.272805 0.071795 
0.279888 0.07142 
0.332599 0.072712 
0.306973 0.080462 
0.322515 0.079295 
0.473731 0.079504 
0.283472 0.085963 
0.309098 0.076004 
0.333724 0.076379 
0.318765 0.079753 
0.329558 0.075795 
0.307556 0.077337 
0.258887 0.074462 
0.299265 0.08167 
0.311765 0.07642 
0.252346 0.076379 
0.251928 0.079879 
0.270429 0.07142 
0.194801 0.07592 
0.306223 0.074921 
0.294139 0.074796 
0.286306 0.079379 
0.244345 0.075795 
0.283388 0.044752 
0.331682 0.078962 
0.281846 0.073045 
0.28543 0.072962 
0.317432 0.074962 
0.341516 0.088796 
0.236303 0.075962 
0.31439 0.045711 
0.291305 0.077754 
0.188425 0.082838 
0.261179 0.076337 
0.256304 0.085129 
0.252221 0.094754 
0.245012 0.048961 
0.25347 0.071753 
0.262596 0.076545 
0.291305 0.082379 
0.25547 0.074253 
0.411936 0.078545 
0.226969 0.078837 
0.211302 0.046878 
0.265887 0.077712 
0.231886 0.077295 
0.283721 0.091462 
0.250471 0.079337 
0.250554 0.08167 
0.241845 0.046044 
0.233553 0.080087 
0.200718 0.077712 
0.256638 0.083963 
0.242053 0.08142 
0.266387 0.079504 
0.246012 0.086838 
0.219843 0.080212 
0.271305 0.082629 
0.279263 0.081629 
0.225094 0.077254 
0.235261 0.077337 
0.258095 0.085588 
0.208218 0.086712 
0.20901 0.049586 
0.229511 0.101421 
0.20226 0.081587 
0.196968 0.082254 
0.170091 0.079254 
0.193842 0.04696 
0.218177 0.085255 
0.223761 0.083088 
0.152841 0.08042 
0.196051 0.078962 
0.212135 0.082046 
0.176675 0.083129 
0.175549 0.048503 
0.155924 0.089046 
0.249261 0.088837 
0.165216 0.087921 
0.200676 0.084337 
0.217802 0.079421 
0.199676 0.082212 
0.22276 0.051169 
0.192634 0.080754 
0.206218 0.084921 
0.155174 0.086963 
0.194343 0.087213 
0.174342 0.092546 
0.146132 0.083045 
0.143674 0.047086 
0.165883 0.083879 
0.222136 0.087921 
0.145465 0.079087 
0.141632 0.093713 
0.224594 0.091588 
0.172467 0.05146 
0.154424 0.084254 
0.18205 0.078837 
0.186926 0.082671 
0.196926 0.08067 
0.192509 0.079087 
0.214177 0.046627 
0.13409 0.079253 
0.143632 0.078337 
0.194259 0.082295 
0.165258 0.088837 
0.210885 0.082838 
0.260095 0.093463 
0.271596 0.061836 
