Elapsed Time: 42.32 seconds | Position: x=-5.35, y=-1.48
Elapsed Time: 42.87 seconds | Position: x=-5.35, y=-1.48
Elapsed Time: 43.34 seconds | Position: x=-5.36, y=-1.49
Elapsed Time: 43.72 seconds | Position: x=-5.35, y=-1.51
Elapsed Time: 44.22 seconds | Position: x=-5.34, y=-1.55
Elapsed Time: 44.84 seconds | Position: x=-5.31, y=-1.62
Elapsed Time: 45.12 seconds | Position: x=-5.20, y=-1.70
Elapsed Time: 45.51 seconds | Position: x=-5.08, y=-1.75
Elapsed Time: 46.02 seconds | Position: x=-4.93, y=-1.80
Elapsed Time: 46.13 seconds | Position: x=-4.83, y=-1.80
Elapsed Time: 46.31 seconds | Position: x=-4.70, y=-1.80
Elapsed Time: 47.00 seconds | Position: x=-4.54, y=-1.77
Elapsed Time: 47.02 seconds | Position: x=-4.39, y=-1.73
Elapsed Time: 47.43 seconds | Position: x=-4.21, y=-1.65
Elapsed Time: 47.74 seconds | Position: x=-4.10, y=-1.55
Elapsed Time: 48.11 seconds | Position: x=-3.94, y=-1.49
Elapsed Time: 48.45 seconds | Position: x=-3.77, y=-1.41
Elapsed Time: 49.05 seconds | Position: x=-3.63, y=-1.32
Elapsed Time: 49.21 seconds | Position: x=-3.46, y=-1.25
Elapsed Time: 49.52 seconds | Position: x=-3.31, y=-1.18
Elapsed Time: 49.92 seconds | Position: x=-3.16, y=-1.10
Elapsed Time: 50.22 seconds | Position: x=-3.01, y=-1.03
Elapsed Time: 50.62 seconds | Position: x=-2.85, y=-0.96
Elapsed Time: 51.15 seconds | Position: x=-2.68, y=-0.87
Elapsed Time: 51.31 seconds | Position: x=-2.52, y=-0.79
Elapsed Time: 51.63 seconds | Position: x=-2.37, y=-0.72
Elapsed Time: 52.02 seconds | Position: x=-2.20, y=-0.65
Elapsed Time: 52.33 seconds | Position: x=-2.03, y=-0.57
Elapsed Time: 52.72 seconds | Position: x=-1.88, y=-0.50
Elapsed Time: 53.23 seconds | Position: x=-1.72, y=-0.43
Elapsed Time: 53.41 seconds | Position: x=-1.56, y=-0.37
Elapsed Time: 53.82 seconds | Position: x=-1.41, y=-0.29
Elapsed Time: 54.12 seconds | Position: x=-1.25, y=-0.21
Elapsed Time: 54.52 seconds | Position: x=-1.08, y=-0.11
Elapsed Time: 54.83 seconds | Position: x=-0.91, y=-0.01
Elapsed Time: 55.32 seconds | Position: x=-0.75, y=0.11
Elapsed Time: 55.41 seconds | Position: x=-0.65, y=0.19
Elapsed Time: 55.64 seconds | Position: x=-0.58, y=0.28
Elapsed Time: 55.92 seconds | Position: x=-0.46, y=0.38
Elapsed Time: 56.12 seconds | Position: x=-0.38, y=0.47
Elapsed Time: 56.41 seconds | Position: x=-0.30, y=0.57
Elapsed Time: 56.61 seconds | Position: x=-0.22, y=0.67
Elapsed Time: 56.81 seconds | Position: x=-0.14, y=0.77
Elapsed Time: 57.45 seconds | Position: x=-0.07, y=0.87
Elapsed Time: 57.46 seconds | Position: x=-0.00, y=0.99
Elapsed Time: 57.54 seconds | Position: x=0.08, y=1.12
Elapsed Time: 57.81 seconds | Position: x=0.16, y=1.24
Elapsed Time: 58.01 seconds | Position: x=0.22, y=1.39
Elapsed Time: 58.24 seconds | Position: x=0.28, y=1.55
Elapsed Time: 58.51 seconds | Position: x=0.34, y=1.68
Elapsed Time: 58.71 seconds | Position: x=0.43, y=1.82
Elapsed Time: 59.01 seconds | Position: x=0.50, y=1.93
Elapsed Time: 59.52 seconds | Position: x=0.59, y=2.05
Elapsed Time: 59.53 seconds | Position: x=0.65, y=2.15
Elapsed Time: 59.70 seconds | Position: x=0.71, y=2.26
Elapsed Time: 59.97 seconds | Position: x=0.81, y=2.35
Elapsed Time: 60.12 seconds | Position: x=0.86, y=2.46
Elapsed Time: 60.41 seconds | Position: x=0.93, y=2.56
