Elapsed Time: 38.29 seconds | Position: x=-9.08, y=3.67
Elapsed Time: 38.50 seconds | Position: x=-9.14, y=3.78
Elapsed Time: 38.70 seconds | Position: x=-9.21, y=3.88
Elapsed Time: 39.30 seconds | Position: x=-9.27, y=3.99
Elapsed Time: 39.30 seconds | Position: x=-9.33, y=4.08
Elapsed Time: 39.41 seconds | Position: x=-9.40, y=4.19
Elapsed Time: 39.70 seconds | Position: x=-9.47, y=4.31
Elapsed Time: 39.90 seconds | Position: x=-9.54, y=4.42
Elapsed Time: 40.20 seconds | Position: x=-9.60, y=4.51
Elapsed Time: 40.39 seconds | Position: x=-9.67, y=4.61
Elapsed Time: 40.59 seconds | Position: x=-9.74, y=4.71
Elapsed Time: 40.89 seconds | Position: x=-9.83, y=4.81
Elapsed Time: 41.42 seconds | Position: x=-9.90, y=4.90
Elapsed Time: 41.42 seconds | Position: x=-9.98, y=5.00
Elapsed Time: 41.60 seconds | Position: x=-10.06, y=5.09
Elapsed Time: 41.80 seconds | Position: x=-10.14, y=5.19
Elapsed Time: 42.01 seconds | Position: x=-10.21, y=5.28
Elapsed Time: 42.30 seconds | Position: x=-10.30, y=5.39
Elapsed Time: 42.49 seconds | Position: x=-10.38, y=5.47
Elapsed Time: 42.72 seconds | Position: x=-10.46, y=5.57
Elapsed Time: 43.01 seconds | Position: x=-10.53, y=5.68
Elapsed Time: 43.54 seconds | Position: x=-10.60, y=5.75
Elapsed Time: 43.54 seconds | Position: x=-10.67, y=5.85
Elapsed Time: 43.71 seconds | Position: x=-10.74, y=5.94
Elapsed Time: 43.89 seconds | Position: x=-10.81, y=6.04
Elapsed Time: 44.19 seconds | Position: x=-10.88, y=6.15
Elapsed Time: 44.40 seconds | Position: x=-10.94, y=6.25
Elapsed Time: 44.61 seconds | Position: x=-11.00, y=6.33
Elapsed Time: 44.90 seconds | Position: x=-11.08, y=6.42
Elapsed Time: 45.10 seconds | Position: x=-11.14, y=6.52
Elapsed Time: 45.63 seconds | Position: x=-11.21, y=6.61
Elapsed Time: 45.64 seconds | Position: x=-11.30, y=6.70
Elapsed Time: 45.79 seconds | Position: x=-11.38, y=6.79
Elapsed Time: 46.03 seconds | Position: x=-11.46, y=6.87
Elapsed Time: 46.30 seconds | Position: x=-11.57, y=6.97
Elapsed Time: 46.49 seconds | Position: x=-11.65, y=7.05
Elapsed Time: 46.79 seconds | Position: x=-11.74, y=7.14
Elapsed Time: 46.99 seconds | Position: x=-11.83, y=7.23
Elapsed Time: 47.20 seconds | Position: x=-11.93, y=7.30
Elapsed Time: 47.73 seconds | Position: x=-12.03, y=7.37
Elapsed Time: 47.73 seconds | Position: x=-12.13, y=7.45
Elapsed Time: 47.92 seconds | Position: x=-12.23, y=7.52
Elapsed Time: 48.20 seconds | Position: x=-12.32, y=7.59
Elapsed Time: 48.47 seconds | Position: x=-12.42, y=7.66
Elapsed Time: 48.67 seconds | Position: x=-12.52, y=7.72
Elapsed Time: 48.88 seconds | Position: x=-12.62, y=7.79
Elapsed Time: 49.09 seconds | Position: x=-12.74, y=7.87
Elapsed Time: 49.40 seconds | Position: x=-12.84, y=7.93
Elapsed Time: 49.90 seconds | Position: x=-12.94, y=8.00
Elapsed Time: 49.90 seconds | Position: x=-13.05, y=8.06
Elapsed Time: 50.09 seconds | Position: x=-13.15, y=8.13
Elapsed Time: 50.31 seconds | Position: x=-13.25, y=8.19
Elapsed Time: 50.50 seconds | Position: x=-13.36, y=8.27
Elapsed Time: 50.81 seconds | Position: x=-13.47, y=8.35
Elapsed Time: 51.03 seconds | Position: x=-13.58, y=8.42
Elapsed Time: 51.22 seconds | Position: x=-13.67, y=8.48
Elapsed Time: 51.50 seconds | Position: x=-13.75, y=8.56
Elapsed Time: 52.06 seconds | Position: x=-13.84, y=8.63
Elapsed Time: 52.06 seconds | Position: x=-13.91, y=8.70
Elapsed Time: 52.19 seconds | Position: x=-14.01, y=8.77
